src_id,src_lang,tgt_lang
512,写 给 自己 的 第 512 封 信 伸手需要一瞬间，牵手却要很多年，无论你遇见谁，他都是你生命该 出现的人，绝非偶然。,"Bức thư viết cho chính mình số 512 Giơ tay chỉ cần một nháy mất nhưng nắm tay lại cần rất nhiều thời gian. Cho dù bạn gặp ai, anh ấy đều là người phải xuất hiện trong cuộc đời bạn theo tính toán chứ - không phải ngẫu nhiên."
514,写 给 自己 的 第 514 封 信 很多人，突然就不再联系了，和重不重要无关，却和需不需要相连。 我们必须承认人走茶凉的道理，哪怕离开很短暂，走了就是走了，不是所 有的回头，都有人在原地等你。,"Bức thư viết cho chính mình số 514 Rất nhiều người đột nhiên không liên lạc gì với ta, chuyện này không.phải quan trọng hay không nhưng lại liên quan đến có cần hay không. Chúng ta buộc phải thừa nhận rằng: Người đã ra đi thì tình cảm sẽ lạnh nhạt, cho dù bạn rời đi trong một khoảng thời gian rất ngắn nhưng đã ra đi là ra đi. Đừng mong bạn quay lại thì người ta vẫn còn luôn chờ đợi bạn."
515,写 给 自己 的 第 515 封 信 当一个人忽略你时，不要伤心，每个人都有自己的生活，谁都不可能 一直陪你。不要对一个人太好，因为你终会发现，这样时间久了，那个人 是会习惯的，然后把你做的一切看作是理所应当。其实你明明知道，最卑 贱不过感情，最凉不过是人心。,Bức thư viết cho chính mình số 515 Khi một người bỏ lơ bạn thì đừng đau buồn vì mỗi người đều có cuộc sống riêng của mình. Không ai có thể ở bên bạn mãi cả. Đừng đối xử quá tốt với một người nào đó bởi thời gian qua đi bạn sẽ nhận ra rằng anh ta sẽ quen với điều đó và coi những gì bạn làm cho anh ta là đương nhiên. Thực ra bạn hiểu rõ tình cảm là thứ đê tiện nhất còn lòng người là thứ nguội lạnh nhất.
516,写 给 自己 的 第 516 封 信 有多少人故意赌气关掉手机，忍不住打开后，发现什么也没有。自作 多情以为自己在他心里有多重要，到最后才发现自己原来是个笑话。别再 傻了，人家不在乎你。,Bức thư viết cho chính mình số 516 Có rất nhiều người tức lên thì tắt điện thoại đi để rồi đến lúc không chịu được nữa mở ra xem mới phát hiện ra không có gì hết. Bạn tự đa tỉnh cho rằng mình rất quan trọng trong trái tỉm anh ấy thì đến cuối cùng ắt sẽ biết mình chỉ là một trò cười. Đừng có ngốc nữa vì người ta không quan tâm đến bạn đâu.
518,写 给 自己 的 第 518 封 信 我在等那么一天，当我足够优秀足够勇敢，我能坚定地从你面前走 过，且带着一份从容，那将会是你从没见过的我。,"Bức thư viết cho chính mình số 518 Anh đang chờ đến một ngày khi anh đủ xuất sắc, đủ dũng cảm, có thể ung dung kiên định mà đứng trước mặt em. Đó sẽ là anh mà em chưa bao giờ có cơ hội nhìn thấy."
519,写 给 自己 的 第 519 封 信 没必要刻意遇见谁，也不急于拥有谁，更不勉强留住谁。一切顺其自 然，最好的自己留给最后的人。,"Bức thư viết cho chính mình số 519 Không cần phải cố tình gặp ai, cũng không cần vội chiếm hữu ai và càng không cần phải miễn cưỡng ai đó ở bên mình. Mọi thứ cứ để tự nhiên, bản thân mình tốt nhất nên để cho người cuối cùng bạn nhé."
520,写 给 自己 的 第 520 封 信 愿有人怜惜你最糟的样子；愿你的爱不是将就的；愿爱你的是被你吸 引的，而不是算计你好久的；愿你的爱情都是出于简单的真心。,"Bức thư viết cho chính mình số 520 Mong có người thương bạn trong hoàn cảnh bạn tệ nhất, mong tình yêu của bạn không phải tạm bợ, mong người yêu bạn là vì sự lôi cuốn của bạn chứ không phải bày mưu tính toán đã lâu, mong tình yêu của bạn xuất phát từ một trái tim thuần túy."
521,写 给 自己 的 第 521 封 信 你没挽留，我没回头，如此余生各自安好；也没有谁不好，真的只是 时间不凑巧。,"Bức thư viết cho chính mình số 521 Bạn không níu kéo, không quay đầu, từ đó mỗi người sống cuộc sống của mình. Không phải vì ai đó không tốt mà tại thời gian hai người gặp nhau không đúng thời điểm mà thôi."
522,写 给 自己 的 第 522 封 信 追来的很累，强求的不美。想你的人，总会主动找你；不想你的人， 找了也是不睬不理。一直低三下四，只能贬低了自己；再三委曲求全，只 能难为着自己。,"Bức thư viết cho chính mình số 522 Theo đuối thì mệt, cưỡng ép thì không đẹp. Người nhớ bạn sẽ chủ động đi tìm bạn, người không nhớ bạn cho dù bạn có tìm người ta cũng chẳng đoái hoài gì đâu. Lúc nào cũng hạ mình chỉ làm mất đi giá trị bản thân, có chịu thiệt thòi tới đầu cũng chỉ làm khổ sở bản thân mình mà thôi."
523,写 给 自己 的 第 523 封 信 遇不到给你安全感的人不要紧，要学会自己给自己力量。看书、听 歌、跑步，你喜欢的任何事都行。认真丰富自己，安顿正负情绪，随遇而 安不是无所谓，是保证自己遇到什么情况都能撑得住自己。,"Bức thư viết cho chính mình số 523 Không gặp được người cho bạn cảm giác an toàn cũng không sao, phải học cách tạo năng lượng cho bản thân. Đọc sách, nghe nhạc, chạy bộ, bạn thích làm gì cũng được. Làm phong phú bản thân mình, ổn định cảm xúc và không tranh giành với đời cũng không sao: Đó là cách khiến bản thân ở trong tình huống nào cũng có thể giữ vững mình, kiên định và sự vững vàng."
524,写 给 自己 的 第 524 封 信 所有的人，在发誓的时候，都是真的觉得自己一定不会违背承诺。而 在反悔的时候，也都是真的觉得自己不能做到。所以，誓言这种东西，无 法衡量坚贞，也不能判断对错，它只能证明，在说出来的那一刻，彼此曾 经真诚过。,"Bức thư viết cho chính mình số 524 Ai lúc thề thốt cũng đều không nghĩ tới việc mình sẽ phản bội lời thề, nhưng lúc hối hận đều cho rằng bản thân không thể nào giữ được lời thề. Vì thế lời thề không thể đo được lòng chung thủy, không thể phán đoán đúng sai, nó chỉ có thể chứng minh rằng lúc nói ra lời thề cả hai người đều hết sức chân thành."
525,写 给 自己 的 第 525 封 信 两个人能否走在一起，时机很重要。你出现在他想要安定的时候，那 么你就胜算很大。你出现在他对这个世界充满了好奇的时候，那么就算你 多美多优秀都是徒劳无用。,"Bức thư viết cho chính mình số 525 Hai người có thế ở bên nhau hay không thì thời điểm gặp gỡ rất quan trọng. Bạn xuất hiện vào lúc anh ấy muốn ổn định vậy thì phần thắng của bạn rất lớn. Bạn xuất hiện vào lúc anh ấy còn đầy sự hiếu kì về thế giới này thì bạn có đẹp, có xuất sắc đến mức nào cũng vô ích mà thôi!"
526,写 给 自己 的 第 526 封 信 真正的爱，是接受，不是忍受；是支持，不是支配；是慰问，不是质 问。真正的爱，要道谢，也要道歉；要体贴，也要体谅；要认错，也好改 错。真正的爱，不是彼此凝视，而是共同沿着同一方向望去。其实，爱不是 寻找一个完美的人，而是要学会用完美的眼光去欣赏一个并不完美的人。,"Bức thư viết cho chính mình số 526 Tình yêu thực sự là tiếp nhận chứ không phải chịu đựng, là ủng hộ lẫn nhau chứ không phải kiểm soát lẫn nhau, là thăm hỏi nhau chứ không phải chất vấn nhau. Tình yêu thực sự cần biết cảm ơn, biết xin lỗi, quan tâm và thông cảm cho nhau, biết nhận lỗi và sửa sai. Tình yêu thực sự không được nghỉ ngờ lẫn nhau mà phải cùng hướng về một nơi. Thực ra, yêu không phải là tìm kiếm một người hoàn hảo mà yêu là học cách dùng cái nhìn hoàn hao để nhìn một người không hoàn hảo."
527,写 给 自己 的 第 527 封 信 每个人都会找到一个对的人，那个人会对你好，随时随地想你、三 秒回你短信、拉紧你的手，给你送早餐、陪你吃饭、听你唱歌，不让你难 过、不让你伤心，这才是真正要陪你一辈子的人。幸福可以来得晚一些， 只要它是真的。,"Bức thư viết cho chính mình số 527 Ai cũng sẽ tìm thấy người thuộc về mình, người đó sẽ đối tốt với bạn, nhớ bạn mợi lúc mọi nơi, trả lời tin nhắn của bạn trong ba giây, sẽ nắm chặt tay bạn, mang bữa sáng tới cho bạn, cùng bạn ăn cơm, nghe bạn hát, sẽ không khiến bạn buồn và không khiến bạn tốn thương: Đó mới là người bạn nên gắn bó suốt cả cuộc đời. Hạnh phúc có thể đến muộn một chút, không sao cả, miễn sao là nó sẽ phải đến."
528,写 给 自己 的 第 528 封 信 忘记一段感情，方法就是时间和新欢，如果还不能让你忘记，那就是 时间不够长，新欢不够好,"Bức thư viết cho chính mình số 528 Muốn quên đi một mối tình chỉ có hai cách: Thời gian và người mới. Nếu như bạn vẫn không thể quên, đó là do thời gian chưa đủ dài hoặc người mới chưa đủ tốt. Bức thư viết cho chính mình số 528 Khi sự lăng mạn dần trở nên đơn điệu, những yêu thương nồng ấm ngày nào dần trở nên nhạt nhòa thì lẽ nào những quan tâm chăm sóc thường ngày không phải là lời tỏ tình vĩnh cứu nhất sao? Có hoa hồng thì có lời bộc bạch nhưng tình yêu còn cần những lời hứa và giữ được lời hứa lại càng quan trọng hơn! Xin hãy trân trọng lấy những người sau khi đã đến bên ta mà không rời bó, mong rằng khi thời gian trôi qua vẫn còn được nhìn thấy em dưới bóng chiều tà tuyệt đẹp."
530,写 给 自己 的 第 530 封 信 说不想谈恋爱是假的，说不美慕人家秀恩爱是假的，只是真没有碰到 一个认真的；所以，宁愿选择单身，也不想要随便谈感情；因为，我不想 当我遇见更好的人的时候，已经把最好的自己用完,"Bức thư viết cho chính mình số 530 Nói không muốn yêu, không muốn ngưỡng mộ người đang yêu là giả, chẳng qua chỉ là không gặp được một người thật lòng vì thế nên thà cô đơn chứ không tùy tiện yêu đương. Bởi vì em không muốn lúc gặp được người tốt hơn thì em không còn là em hoàn hảo nhất."
531,写 给 自己 的 第 531 封 信 有事情是要说出来的，不要等着对方去领悟，因为对方不是你，不知 道你想要什么，等到最后只能是伤心和失望，尤其是爱情。,"Bức thư viết cho chính mình số 531 Có chuyện phải nói ra đừng bắt đối phương phải tự hiếu. Bởi đối phương không phải bạn, không biết bạn đang nghĩ gì, đợi đến cuối cùng chỉ có đau lòng và thất vọng, nhất là trong tình yêu bạn nhé,"
532,写 给 自己 的 第 532 封 信 背叛伤害不了你，能伤你的，是你太在乎。分手伤害不了你，能伤你 的，是回忆。无疾而终的恋情伤害不了你，能伤你的，是希望。你总以为 是感情伤害了你，其实伤到你的人，永远是自己。,Bức thư viết cho chính mình số 532 Sự phản bội không khiến bạn tổn thương mà bạn bị tốn thương do bạn quá để tâm. Chia tay cũng không thể khiến bạn tốn thương. Bạn tổn thương là đo những hồi ức. Tình yêu không đi đến kết thúc thì không thể làm tốn thương bạn. Thứ làm bạn tốn thương chính là sự thất vọng. Bạn luôn nghĩ rằng tình cảm khiến bạn tổn thương thực ra người làm tổn thương bạn chính là bản thân bạn mà thôi.
533,写 给 自己 的 第 533 封 信 我等你，一直一直等你。我在这里等你，其实只是为了攒够失望，多 到能说服自己戒掉对你的所有暖昧幻想。或许，不联系，就是我们最好的 关系；不打搅，就是我最后的温柔；相互忘记，就是我们最好的归宿。,"Bức thư viết cho chính mình số 533 Em đợi anh, đợi anh mãi. Em đợi anh ở đây thực chất chỉ đế chất chứa thất vọng, thất vọng nhiều đến mức từ bỏ tất cả những hoang tưởng về anh. Hoặc không liên lạc là mối quan hệ tốt nhất của chúng ta, không làm phiền là sự dịu dàng cuối cùng của em. Quên nhau dila điểm đến tốt nhất của chúng ta."
534,写 给 自己 的 第 534 封 信 怀念不一定就要相见，喜欢不一定就要在一起，你要相信，每一种距 离都有它存在的意义。,"Bức thư viết cho chính mình số 534 Nhớ không nhất thiết là phải gặp nhau, yêu cũng không nhất thiết phải ở bên nhau. Bạn phải tin rằng: Mỗi loại khoảng cách đều có ý nghĩa riêng của nớ."
535,写 给 自己 的 第 535 封 信 人生最大的勇敢之一，就是经历了一次次欺骗和伤害之后，还能保持 信任和爱的能力。,Bức thư viết cho chính mình số 535 Một trong những dũng cầm lớn nhất trong đời người đó là trải qua biết bao lần lừa dối và tổn thương vẫn còn nguyên niềm tin vào tình yêu.
536,写 给 自己 的 第 536 封 信 年轻的时候会想要谈很多次恋爱，但是随着年岁增长，终于明白爱一 个人，就算用一辈子的时间，还是会嫌不够。,Bức thư viết cho chính mình số 536 Lúc còn trẻ thì muốn yêu thật nhiều nhưng khi tuổi tác ngày một lớn mới hiểu ra rằng: Thì ra yêu một người cho dù dùng thời gian cả đời cũng không bao giờ đủ.
537,写 给 自己 的 第 537 封 信 你明明知道你需要放手却放不下，因为你还是在等待不可能的发生， 这种感觉真的很难受。,Bức thư viết cho chính mình số 537 Bạn biết rõ mình nên buông tay nhưng lại không thể buông bởi bạn đang chờ một chuyện không thể xảy ra có thể xảy ra. Cảm giác này thực sự rất khó chịu.
538,写 给 自己 的 第 538 封 信 总要经历一些背叛一些心酸，才能把人心看明白。没有人可以左右你 的人生，只是很多时候我们需要多一些勇气，去坚定自己的选择。有些记 忆，注定无法抹去；就像有些人，注定无法代替。,"Bức thư viết cho chính mình số 538 Phải trải qua những lần bị phản bội và những lần trái tỉm bị tốn thương thì mới có thể nhìn thấu lòng người, Không ai có thể quyết định cuộc đời bạn cả. Chỉ là đôi lúc chúng ta cần thêm một chút đũng khí để kiên định với sự lựa chọn của mình. Chân lí là: Có những kí ức không thể xóa nhòa cũng như có một số người không thể thay thế trong cuộc đời này."
539,写 给 自己 的 第 539 封 信 不要轻易放弃一个每天都会想念的人。这样的人，一辈子也不会遇到 几个。即便在一起要吃很多苦头，咬咬牙也就过去了。生活的苦，会随光 阴淡去。但失去挚爱的疼痛，时间也无法洗涤。多年后仍能让你心痛的， 是当年轻易放弃的真爱。,Bức thư viết cho chính mình số 539 Đừng dễ dàng từ bỏ người mà bạn nhớ tới mỗi ngày bởi người như vậy trong cuộc đời bạn cũng chỉ gặp được vài người. Cho dù hai người ở bên nhau có phải chịu biết bao khổ cực thì cẩn răng chịu đựng rồi cũng sẽ qua đi. Nỗi vất vả của cuộc sống dần sẽ bớt theo thời gian. Nhưng nỗi đau khi mất một tình yêu đích thực thì thời gian không thể xóa nhòa. Thứ khiến nhiều năm sau trái tim bạn vẫn còn đau và rỉ máu chính là tình yêu đích thực mà năm đó bạn dễ dàng từ bỏ đến như vậy.
540,写 给 自己 的 第 540 封 信 你要相信，这个世界上总有一个人正在向你走来，带着最美丽的爱 情。你要做的只是在他出现之前，好好地照顾自己。,Bức thư viết cho chính mình số 540 Bạn phải tin rằng trên thế giới này kiểu gì cũng có một người đang tiến về phía bạn với một tình yêu tươi đẹp. Việc bạn cần làm là trước khi anh ấy xuất hiện hãy chăm sóc mình thật tốt và thật hoàn háo.
541,写 给 自己 的 第 541 封 信 踏踏实实找个人一起生活，你喜欢他他喜欢你，没有秘密，没有出 轨，没有不开心，性格不合适可以磨合，习惯不一样可以适应，只要都有 一颗想一直走下去的心就好。,"Bức thư viết cho chính mình số 541 Bạn của tôi ơi, hãy tìm một người có thể sống yên ổn với bạn suốt cuộc đời, bạn yêu người đó và người đó cũng yêu bạn, giữa hai người không có bí mật gì, không phản bội nhau, không có nỗi buồn, tính cách không hợp thì có thể thay đối, thói quen khác nhau có thế thích ứng, chỉ cần cả hai đều muốn sống bên nhau mãi mãi là được."
542,写 给 自己 的 第 542 封 信 爱情是人类整个感情世界中最为强烈的一种情感，真正的爱情能唤醒 人的潜能！其甜如蜜，其酸赛醋。恰到好处时，如醒酒汤般令人兴奋且清,"Bức thư viết cho chính mình số 542 Tình yêu là thứ tình cảm mãnh liệt nhất trong thế giới tình cảm loài người, tình yêu đích thực có thể đánh thức tiềm năng trong mỗi người. Nó ngọt như mật mía nhưng có khi lại chua hơn giấm gạo. Tình yêu vừa chín muồi giống như canh giải rượu khiến người ta hưng phẩn lại tỉnh táo, còn đối với người chìm đắm trong đó mà không thể dứt ra, tình yêu tựa như thuốc mê khiến người ta hoa mắt chóng mặt và không thể kiểm soát bản thân."
544,写 给 自己 的 第 544 封 信 有时候，你以为会是一生一世，但到最后，却发现一瞬间就可以改变 所有。有时候，你总觉得很难继续，过着过着，就是一辈子了。感情的事 情，真的不是你能计划好。今天愿意为你付出一切的人，明天可能就相别 陌路。爱不随人愿，只留真心人。,"Bức thư viết cho chính mình số 544 Có lúc bạn nghĩ mình sẽ ở bên ai đó trọn đời nhưng đến cuối cùng mới phát hiện ra chỉ cần một khoảnh khắc là có thể thay đối tất cả. Có lúc bạn nghĩ rằng thật khó để bước tiếp cùng nhau nhưng cứ cố cứ cố rồi cũng qua một đời. Chuyện tình cảm không phải bạn cứ tính là được. Người hôm nay nguyện hi sinh tất cả vì bạn nhưng ngày mai có thể trở thành người xa lạ. Tình yêu không theo ý muốn con người, nó chỉ giữ những người có tình cảm lại mà thôi."
545,写 给 自己 的 第 545 封 信 爱，不是寻找一个完美的人，而是学会用完美的眼光欣赏那个不完美 的人。,Bức thư viết cho chính mình số 545 Yêu không phải tìm kiếm một người hoàn hảo mà yêu là học cách dùng cách nhìn boàn hảo để nhìn một người không hoàn háo.
546,写 给 自己 的 第 546 封 信 爱情里面所有的迁就都是甘心情愿，甚至了无痕迹的。有时候，并不 是他喜欢的东西你刚好全都喜欢，而是他喜欢的，你也愿意去喜欢，然后 就真的喜欢了。,Bức thư viết cho chính mình số 546 Moi sự nuông chiều trong tình yêu đều là cam tâm tình nguyện đến mức không có một dấu vết nào. Có lúc không phải thứ anh ấy thích bạn cũng thích nhưng thứ anh ấy thích bạn cũng thích theo rồi dan dần trở nên thích thật sự.
547,写 给 自己 的 第 547 封 信 你不必逞强，不必说谎，懂你的人，自然会知道你原本的模样。,"Bức thư viết cho chính mình số 547 Bạn không cần phải tỏ ra mạnh mẽ cũng không cần nói đối, người hiểu bạn sẽ tự biết con người thật của bạn như thế nào."
548,写 给 自己 的 第 548 封 信 希望有这么一个人，不嫌弃我的坏脾气，不嫌弃我的坏习惯，不嫌弃 我的家境怎样，始终站在我身边，一不小心就白头到老了。,"Bức thư viết cho chính mình số 548 Hi vọng trên đời này có một người không những không kế những tính xấu, những thói quen tồi của tôi, mà còn không chê gia cảnh nhà tôi, luôn ở bên cạnh tôi, nói không chừng lại sống cùng tôi đến trọn đời ấy chứ."
549,写 给 自己 的 第 549 封 信 时间最会骗人，但也能让你明白，这个世界没有什么不能失去的，离 去的都是风景，留下的才是人生，走到最后的，就是对的人。,"Bức thư viết cho chính mình số 549 Thời gian là thứ biết lừa người nhất nhưng nó cũng khiến bạn hiểu rằng: Trên đời này không có cái gì là không thể mất đi, thứ mất đi chỉ là phong cảnh, còn thứ ở lại chính là lòng người. Người có thế đi cùng bạn đến cuối con đường chính là người dành cho bạn."
550,写 给 自己 的 第 550 封 信 一段感情，能持续下去，最重要的或许不是爱，而是感恩。谢谢他在 人群里发现你，视若珍宝牵手至今；谢谢你把最珍贵的青春，只为他而燃 烧。为对方做的一切，都看在眼记在心。所以，将来无论发生什么，可以 吵架，可以生气，但绝不会离开。,"Bức thư viết cho chính mình số 550 Một mối tình có thể kéo dài được hay không điều quan trọng nhất có lẽ không ở tình yêu mà ở sự biết ơn. Cảm ơn anh ấy đã tìm thấy bạn trong biển người, coi bạn như báu vật cho đến tận bây giờ và cảm ơn bạn đã dành tuổi thanh xuân đẹp đẽ nhất, quý giá nhất cho anh ấy. Đối phương làm mọi chuyện bạn đều nhìn thấy và khắc ghi trong lòng vì thế cho dù tương lai có xây ra chuyện gì, có thể cãi nhau, có thể tức giận, nhưng nhất định không thể rời xa nhau."
551,写 给 自己 的 第 551 封 信 任何一段凑合的婚姻，最后都会演变成为一段悔不当初的未来。如果 恋爱中你无法从对方那里发现自己的美好，那婚后定会是魔兽争霸的噩梦。,"Bức thư viết cho chính mình số 551 Bất cứ một cuộc hôn nhân tạm bợ nào đều sẽ dẫn tới sự hối hận của hai người sau này. Nếu như khi yêu bạn không thể phát hiện ra điểm tốt của bán thân mình từ đối phương, thì cuộc sống sau khi kết hôn chỉ là ác mộng tranh bá của những con ác thú mà thôi."
552,写 给 自己 的 第 552 封 信 拼命对一个人好，生怕做错一点对方就不喜欢你，这不是爱，而是取 悦。分手后觉得更爱对方，没他就活不下去，这不是爱情是不甘心。你拼 命工作努力做人，生怕别人会看不起你，这不是要强，而是恐惧。你要知 道，很多时候被情绪控制，只敢抓住而不敢放弃，是很累的。,"Bức thư viết cho chính mình số 552 Cố gắng để đối tốt với một ai đó, sợ mình làm sai một chút gì thôi thì người đó sẽ không thích mình nữa, đó không phải yêu mà là đi tìm niềm vui. Sau khi chia tay càng yêu đối phương hơn, không có anh ấy thì không thể sống được, đó không phải yêu mà là không cam tâm. Bạn cố gắng làm việc, ngày càng hoàn thiện bản thân hơn, chỉ sợ người khác xem thường mình, đó không phải là mạnh mẽ mà là lo sợ. Bạn nên biết rằng, có nhiều lúc bản thân bị cảm xúc khống chế, chỉ đám giữ mà không đám buông như thế, hẳn là rất mệt đúng không?"
553,写 给 自己 的 第 553 封 信 不管是友情还是爱情，你来，我热情相拥。你走，我坦然放手。,"Bức thư viết cho chính mình số 553 Cho dù là tình bạn hay tình yêu, bạn đến thì tôi sẽ nhiệt tình đón nhận, bạn đi thì tôi sẽ thản nhiên buông tay."
554,写 给 自己 的 第 554 封 信 最难过的，莫过于当你遇上一个特别的人，却明白永远不可能在一 起，或迟或早，你不得不放弃。,Bức thư viết cho chính mình số 554 Điều buồn nhất là khi bạn gặp được một người đặc biệt nhưng lại không thể mãi mãi bên nhau và biết trước sớm muộn gì bạn cũng phải chia tay người đó.
555,写 给 自己 的 第 555 封 信 当你熬过最孤独的时刻，就会觉得其实也不过如此，没有你想象的 那么难过，也就不需要别人陪伴了，无论你曾多么期待有人疼，最后也觉 得，算了，不指望了，一个人也好。,"Bức thư viết cho chính mình số 555 Rhi bạn trải qua lúc cô độc nhất bạn sẽ thấy rằng chẳng qua cũng chỉ như vậy thôi, nó không buồn đến mức như bạn tưởng tượng, cũng không cần có người ở bên, cho du có kì vọng có người thương đến mức nào thì đến cuối cùng bạn sẽ thấy: Thôi, chỉ cần một mình là đú."
556,写 给 自己 的 第 556 封 信 好的爱情，永远是两个人的努力，而不是一个人的委曲求全。,Bức thư viết cho chính mình số 556 Tình yêu đẹp là hai người cùng nỗ lực chứ không phải một người luôn luôn nhịn nhường và chịu phần sai.
557,写 给 自己 的 第 557 封 信 在喜欢你的人那里，去热爱生活；在不喜欢你的人那里，去看清世界。,"Bức thư viết cho chính mình số 557 Bạn tôi à, hãy yêu cuộc sống khi ở bên những người thích bạn và nhìn nhận rõ thế giới khi ở cùng những người không thích bạn."
558,写 给 自己 的 第 558 封 信 时间会告诉我们，简单的喜欢，最长远；平凡中的陪伴，最心安；懂 你的人，最温暖。,Bức thư viết cho chính mình số 558 Thời gian sẽ nói cho bạn biết tình yêu giản đơn là đài lâu nhất. Ở bên nhau trong cuộc sống bình thường là an lành nhất còn người hiểu bạn nhất là người ấm áp nhất.
